timestamp,NO2,month,day,hour
448877,-0.07100356732195116,3,17,5
448878,-0.0450850928228689,3,17,6
448879,0.011071601925142636,3,17,7
448880,-0.032125855573327776,3,17,8
448881,-0.04076534707302186,3,17,9
448882,-0.0450850928228689,3,17,10
448883,-0.049404838572715944,3,17,11
448884,0.011071601925142636,3,17,12
448885,-0.036445601323174814,3,17,13
448886,-0.062364075822257066,3,17,14
448887,-0.062364075822257066,3,17,15
448888,-0.036445601323174814,3,17,16
448889,-0.049404838572715944,3,17,17
448890,-0.0450850928228689,3,17,18
448891,-0.019166618323786657,3,17,19
448892,-0.04076534707302186,3,17,20
448893,-0.05372458432256298,3,17,21
448894,-0.04076534707302186,3,17,22
448895,-0.062364075822257066,3,17,23
448896,-0.15770332864339406,3,18,0
448897,-0.15770332864339406,3,18,1
448898,-0.1274651083944648,3,18,2
448899,-0.16634282014308815,3,18,3
448900,-0.17498231164278225,3,18,4
448901,-0.15770332864339406,3,18,5
448902,-0.0885873966458414,3,18,6
448903,0.028045738600028732,3,18,7
448904,-0.0367504476476769,3,18,8
448905,-0.06266892214675915,3,18,9
448906,-0.1404243456440059,3,18,10
448907,-0.16202307439324112,3,18,11
448908,-0.15338358289354703,3,18,12
448909,-0.14474409139385294,3,18,13
448910,-0.15338358289354703,3,18,14
448911,-0.16634282014308815,3,18,15
448912,-0.16202307439324112,3,18,16
448913,-0.16202307439324112,3,18,17
448914,-0.15338358289354703,3,18,18
448915,-0.1404243456440059,3,18,19
448916,-0.14474409139385294,3,18,20
448917,-0.15770332864339406,3,18,21
448918,-0.14906383714369997,3,18,22
448919,-0.13178485414431182,3,18,23
448920,-0.10585719630641013,3,19,0
448921,-0.1231361793057983,3,19,1
448922,-0.1015374505565631,3,19,2
448923,-0.1015374505565631,3,19,3
448924,-0.11017694205625718,3,19,4
448925,-0.08425846755717493,3,19,5
448926,-0.0669794845577868,3,19,6
448927,-0.054020247308245666,3,19,7
448928,-0.028101772809163417,3,19,8
448929,0.023735176189001086,3,19,9
448932,-0.054020247308245666,3,19,12
448933,-0.07561897605748087,3,19,13
448934,-0.09721770480671606,3,19,14
448935,-0.11017694205625718,3,19,15
448936,-0.04538075580855158,3,19,16
448937,-0.0021832983100811654,3,19,17
448938,0.015095684689307002,3,19,18
448939,-0.0021832983100811654,3,19,19
448940,0.114449836935789,3,19,20
448941,0.07557212518716559,3,19,21
448942,0.01077593893945996,3,19,22
448943,-0.04970050155839863,3,19,23
448944,0.04296083489685571,3,20,0
448945,0.025681851897467554,3,20,1
448946,-0.03911433435023808,3,20,2
448947,-0.05639331734962625,3,20,3
448948,-0.060713063099473295,3,20,4
448949,-0.06503280884932033,3,20,5
