nom_estacio,data,hour,NO2,has_null
Poblenou,2013-01-05,18,125.2998495011029,False
Poblenou,2013-01-05,19,115.2998495011029,False
Poblenou,2013-01-05,20,99.2998495011029,False
Poblenou,2013-01-05,21,103.2998495011029,False
Poblenou,2013-01-05,22,102.2998495011029,False
Poblenou,2013-01-05,23,96.2998495011029,False
Poblenou,2013-01-05,24,96.2998495011029,False
Poblenou,2013-01-06,1,95.60651878670518,False
Poblenou,2013-01-06,2,95.60651878670518,False
Poblenou,2013-01-06,3,89.60651878670518,False
Poblenou,2013-01-06,4,85.60651878670518,False
Poblenou,2013-01-06,5,82.60651878670518,False
Poblenou,2013-01-06,6,83.60651878670518,False
Poblenou,2013-01-06,7,97.60651878670518,False
Poblenou,2013-01-06,8,97.60651878670518,False
Poblenou,2013-01-06,9,108.60651878670518,False
