nom_estacio,data,hour,NO2,has_null
Sants,2013-01-11,20,109.74177411950868,False
Sants,2013-01-11,21,109.74177411950868,False
Sants,2013-01-11,22,102.74177411950868,False
Sants,2013-01-11,23,89.74177411950868,False
Sants,2013-01-11,24,129.74177411950868,False
Sants,2013-01-12,1,133.80578134564018,False
Sants,2013-01-12,2,131.80578134564018,False
Sants,2013-01-12,3,128.80578134564018,False
Sants,2013-01-12,4,116.80578134564016,False
Sants,2013-01-12,5,102.80578134564016,False
Sants,2013-01-12,6,118.80578134564016,False
Sants,2013-01-12,7,127.80578134564016,False
Sants,2013-01-12,8,134.80578134564018,False
Sants,2013-01-12,9,131.80578134564018,False
Sants,2013-01-12,10,120.80578134564016,False
Sants,2013-01-12,11,102.80578134564016,False
Sants,2013-01-12,12,95.80578134564016,False
Sants,2013-01-12,13,93.80578134564016,False
Sants,2013-01-12,14,95.80578134564016,False
Sants,2013-01-12,15,102.80578134564016,False
Sants,2013-01-12,16,104.80578134564016,False
Sants,2013-01-12,17,105.80578134564016,False
Sants,2013-01-12,18,108.80578134564016,False
Sants,2013-01-12,19,132.80578134564018,False
Sants,2013-01-12,20,137.80578134564018,False
Sants,2013-01-12,21,149.80578134564018,False
Sants,2013-01-12,22,149.80578134564018,False
Sants,2013-01-12,23,145.80578134564018,False
Sants,2013-01-12,24,144.80578134564018,False
Sants,2013-01-13,1,98.23304144323409,False
Sants,2013-01-13,2,73.23304144323407,False
Sants,2013-01-13,3,72.23304144323407,False
Sants,2013-01-13,4,70.23304144323407,False
Sants,2013-01-13,5,73.23304144323407,False
Sants,2013-01-13,6,77.23304144323407,False
Sants,2013-01-13,7,71.23304144323407,False
Sants,2013-01-13,8,70.23304144323407,False
Sants,2013-01-13,9,67.23304144323407,False
Sants,2013-01-13,10,73.23304144323407,False
Sants,2013-01-13,11,72.23304144323407,False
Sants,2013-01-13,12,76.23304144323407,False
Sants,2013-01-13,13,78.23304144323407,False
